species,dd long,dd lat
flood,276881.35259455,4710748.79613620
flood,277381.35259455,4710748.79613620
flood,313881.35259455,4710748.79613620
flood,276381.35259455,4710248.79613620
flood,276881.35259455,4710248.79613620
flood,314381.35259455,4710248.79613620
flood,276381.35259455,4709748.79613620
flood,276881.35259455,4709748.79613620
flood,277381.35259455,4709748.79613620
flood,277881.35259455,4709748.79613620
flood,295881.35259455,4709748.79613620
flood,314381.35259455,4709748.79613620
flood,276881.35259455,4709248.79613620
flood,277381.35259455,4709248.79613620
flood,277881.35259455,4709248.79613620
flood,314881.35259455,4709248.79613620
flood,276881.35259455,4708748.79613620
flood,277381.35259455,4708748.79613620
flood,277881.35259455,4708748.79613620
flood,295381.35259455,4708748.79613620
flood,314881.35259455,4708748.79613620
flood,277381.35259455,4708248.79613620
flood,280381.35259455,4708248.79613620
flood,314881.35259455,4708248.79613620
flood,277881.35259455,4707748.79613620
flood,278381.35259455,4707748.79613620
flood,278881.35259455,4707748.79613620
flood,279381.35259455,4707748.79613620
flood,280881.35259455,4707748.79613620
flood,314881.35259455,4707748.79613620
flood,279381.35259455,4707248.79613620
flood,315381.35259455,4707248.79613620
flood,323381.35259455,4707248.79613620
flood,281881.35259455,4706748.79613620
flood,315881.35259455,4706748.79613620
flood,317881.35259455,4706748.79613620
flood,318381.35259455,4706748.79613620
flood,318881.35259455,4706748.79613620
flood,319381.35259455,4706748.79613620
flood,319881.35259455,4706748.79613620
flood,323381.35259455,4706748.79613620
flood,281881.35259455,4706248.79613620
flood,282381.35259455,4706248.79613620
flood,283381.35259455,4706248.79613620
flood,290881.35259455,4706248.79613620
flood,316381.35259455,4706248.79613620
flood,316881.35259455,4706248.79613620
flood,317381.35259455,4706248.79613620
flood,317881.35259455,4706248.79613620
flood,318881.35259455,4706248.79613620
flood,319381.35259455,4706248.79613620
flood,319881.35259455,4706248.79613620
flood,320381.35259455,4706248.79613620
flood,320881.35259455,4706248.79613620
flood,322881.35259455,4706248.79613620
flood,323381.35259455,4706248.79613620
flood,282381.35259455,4705748.79613620
flood,289381.35259455,4705748.79613620
flood,290381.35259455,4705748.79613620
flood,316381.35259455,4705748.79613620
flood,316881.35259455,4705748.79613620
flood,317381.35259455,4705748.79613620
flood,317881.35259455,4705748.79613620
flood,319381.35259455,4705748.79613620
flood,319881.35259455,4705748.79613620
flood,320381.35259455,4705748.79613620
flood,320881.35259455,4705748.79613620
flood,322381.35259455,4705748.79613620
