Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.19903E-8,0.000001199,0.000044859,1,0,0
1.21305E-8,0.000003619,0.000045383,0.999829074,0,0
1.40126E-8,0.000010345,0.000052424,0.999401761,0,0
1.54897E-8,0.00002524,0.00005795,0.998547133,0,0
1.72872E-8,0.000050151,0.000064674,0.997265191,0,0
2.00959E-8,0.00010102,0.000075181,0.994957696,0,0
2.36934E-8,0.000250885,0.000088639,0.989146227,0,0
2.6897E-8,0.000501919,0.000100623,0.980685412,0,0
3.11321E-8,0.00100095,0.000116465,0.965985813,0,0
3.91426E-8,0.002500884,0.000146427,0.929407743,0,0
5.10843E-8,0.005000641,0.000191091,0.881804974,0,0
1.09559E-7,0.010009798,0.000409739,0.823348432,0,0
1.95207E-7,0.025017319,0.000729818,0.738911204,0,0
4.46145E-7,0.050021185,0.001666431,0.66472951,0,0
1.04402E-6,0.100089778,0.003890926,0.600632425,0,0
3.01287E-6,0.200189378,0.011146758,0.557388257,0.000587889,0
5.65395E-6,0.300291075,0.02071556,0.536620802,0.000587889,0
7.60283E-6,0.400592635,0.027658603,0.523630459,0.000587889,0
8.78114E-6,0.500841109,0.031808877,0.513118537,0.000587889,0
9.76787E-6,0.600752153,0.035257171,0.503888557,0.000587889,0
1.07505E-5,0.700643313,0.038666982,0.495598667,0.001175779,0
1.13211E-5,0.750199727,0.040635833,0.491752842,0.001763668,0
1.18561E-5,0.801033929,0.042474657,0.487992479,0.001763668,0
1.29133E-5,0.900296785,0.046087473,0.481155457,0.001763668,0
1.40278E-5,1.000057576,0.049866651,0.474831211,0.002939447,0
1.49879E-5,1.100076791,0.053098537,0.468934279,0.003527337,0
1.59312E-5,1.200493259,0.05625244,0.463379198,0.003527337,0
1.69538E-5,1.300815221,0.059647556,0.458165969,0.003527337,0
1.76913E-5,1.401269868,0.062081295,0.453209127,0.005291005,0
1.86302E-5,1.501283852,0.065161348,0.448508674,0.005291005,0
2.09515E-5,1.750625546,0.072690179,0.437740364,0.005291005,0
2.3272E-5,2.000236265,0.0800962,0.42808307,0.005878895,0
2.55341E-5,2.251539824,0.087202768,0.419280403,0.007642563,0
2.7435E-5,2.500278555,0.093090508,0.411246902,0.008818342,0
2.90614E-5,2.75167719,0.09806784,0.403640714,0.009994121,0
3.05622E-5,3.001907607,0.102612643,0.396461841,0.010582011,0
3.22698E-5,3.250229051,0.107728214,0.389710281,0.01175779,0
3.38483E-5,3.501383748,0.112405557,0.38321511,0.01175779,0
3.56589E-5,3.751890314,0.117710443,0.37706179,0.014109347,0
3.72513E-5,4.003588963,0.122323936,0.371164858,0.014697237,0
3.86491E-5,4.253641072,0.126334245,0.365524314,0.017048795,0
4.00716E-5,4.501040609,0.130377877,0.360140159,0.017636684,0
4.17539E-5,4.754134551,0.135111904,0.354841467,0.017636684,0
4.32336E-5,5.000870551,0.139233249,0.349884625,0.018812463,0
4.4815E-5,5.251448665,0.14359476,0.345013247,0.019400353,0
4.64372E-5,5.50283505,0.148023247,0.340312794,0.024103469,0
4.79747E-5,5.75248281,0.152178428,0.335783266,0.024691358,0
4.97695E-5,6.001686431,0.156977808,0.331424665,0.027042916,0
5.16617E-5,6.250402615,0.161979238,0.327236988,0.029982363,0
5.38076E-5,6.503762868,0.167580025,0.323134775,0.032921811,0
5.53673E-5,6.75543945,0.171604001,0.319203487,0.0335097,0
5.71589E-5,7.003422135,0.176178686,0.315443125,0.037037037,0
5.914E-5,7.253507865,0.18117853,0.311768225,0.038800705,0.058823529
6.06388E-5,7.504989367,0.184921083,0.308093325,0.041152263,0.058823529
6.21602E-5,7.750448802,0.188685227,0.304760277,0.042328042,0.058823529
6.38163E-5,8.003076105,0.192743283,0.301341766,0.044091711,0.058823529
6.57593E-5,8.25645429,0.197453072,0.298008717,0.045855379,0.058823529
6.75864E-5,8.50333726,0.201832001,0.294846594,0.047031158,0.117647059
6.93276E-5,8.756672373,0.205960729,0.291684471,0.048206937,0.117647059
7.11738E-5,9.002753206,0.210292019,0.288693274,0.049970606,0.117647059
7.33558E-5,9.256267875,0.215350711,0.285702077,0.051734274,0.117647059
7.56603E-5,9.502438636,0.220623334,0.282881805,0.052910053,0.117647059
7.77077E-5,9.755371328,0.225248726,0.280061533,0.053497942,0.176470588
8.00146E-5,10.007897049,0.230395009,0.277326724,0.055261611,0.176470588
8.1293E-5,10.257897334,0.233217758,0.274677378,0.057025279,0.176470588
8.23987E-5,10.503218125,0.235642343,0.272113495,0.058788948,0.176470588
8.41923E-5,10.753657414,0.239542838,0.269549611,0.061728395,0.176470588
8.55095E-5,11.008418905,0.242382232,0.266985728,0.063492063,0.176470588
8.70821E-5,11.258647402,0.2457445,0.264507307,0.06760729,0.176470588
8.89659E-5,11.505087638,0.249732915,0.262114349,0.069370958,0.176470588
9.08043E-5,11.757342199,0.253584668,0.259721391,0.074661964,0.176470588
9.25791E-5,12.005026631,0.257265926,0.257413896,0.075837743,0.176470588
9.40321E-5,12.257016021,0.260252948,0.255106401,0.07877719,0.176470588
