X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
261881.35259455,4830248.7961362,train,2.736244757983024E-4,39.05284683403735,0.5058662223096382
261881.35259455,4829248.7961362,train,2.644616542616381E-4,37.578560387605854,0.49735142283701744
262381.35259455,4829248.7961362,train,5.999937686440816E-5,7.397701476319333,0.1833286212910286
262881.35259455,4829248.7961362,train,7.003410021063553E-5,8.850842105611779,0.20762381414389955
262381.35259455,4828748.7961362,train,1.3614838977819648E-4,19.452353533049006,0.3374798244654522
262881.35259455,4828748.7961362,train,5.394146820709937E-5,6.525364132859419,0.1679269551060469
263381.35259455,4828248.7961362,train,1.967533100927157E-4,28.728814258397026,0.4240083628311994
263881.35259455,4828248.7961362,train,3.013048295299728E-4,43.44269616447915,0.5299221527912875
264381.35259455,4828248.7961362,train,1.256266554064155E-4,17.652169246668464,0.31973797599600123
264881.35259455,4828248.7961362,train,1.9985101461053427E-4,29.011702438634842,0.4278279725184856
265881.35259455,4828248.7961362,train,2.0188321972571427E-4,29.293141021827577,0.430306374338539
266381.35259455,4828248.7961362,train,1.8574331848986817E-4,26.895533042119848,0.4100097765716025
266881.35259455,4827748.7961362,train,2.0034940653958311E-4,29.086463093934288,0.4284377864324153
267881.35259455,4827248.7961362,train,1.7128085218462812E-4,25.030140393906198,0.3905535357094413
267881.35259455,4826748.7961362,train,1.7689659849515224E-4,25.77416184062117,0.39825882535538504
268381.35259455,4826748.7961362,train,1.8026612966568316E-4,26.097386046147427,0.40278929255339446
267881.35259455,4826248.7961362,train,9.294218009516665E-5,12.06799451241926,0.25801465748219793
268381.35259455,4826248.7961362,train,1.8136766616827228E-4,26.25517663713684,0.4042555919318211
268381.35259455,4825748.7961362,train,3.618053521301454E-4,53.31569610469048,0.5751306913785148
267381.35259455,4825248.7961362,train,8.960651845280427E-5,11.59298957804604,0.2510796143534406
267881.35259455,4825248.7961362,train,1.1731042267554566E-4,16.069155943108303,0.3050281937105443
268381.35259455,4825248.7961362,train,1.8511174855188853E-4,26.762257701145305,0.40918610673633554
267881.35259455,4824748.7961362,train,1.0531006544872854E-4,13.80316958827191,0.2826444874629046
268381.35259455,4824748.7961362,train,1.862938030195705E-4,27.0116975537367,0.41072582688258874
268881.35259455,4824748.7961362,train,2.099804870788615E-4,30.37665713888765,0.43997190823846305
268381.35259455,4824248.7961362,train,1.6522989264644778E-4,23.916791025104928,0.382027141481587
268881.35259455,4824248.7961362,train,7.047639664010673E-5,8.909795996737982,0.20866144617600726
269381.35259455,4824248.7961362,train,1.4028798383373432E-4,20.150907384296296,0.3442089486934657
269881.35259455,4824248.7961362,train,3.744876533740952E-4,55.80526474507503,0.5835267740973368
270381.35259455,4824248.7961362,train,1.7671975593697305E-4,25.758743052048782,0.39801915441062097
269381.35259455,4823748.7961362,train,2.045195420372017E-4,29.585025429207622,0.4334897204267397
269881.35259455,4823748.7961362,train,1.2257999499319574E-4,17.069454925826868,0.3144218725045194
270381.35259455,4823748.7961362,train,3.790856659115929E-4,56.74419109459554,0.5864894221222868
269881.35259455,4823248.7961362,train,1.1254462354525766E-4,15.190040547293068,0.29630808948933646
270381.35259455,4823248.7961362,train,1.3554102751097162E-4,19.36088657003602,0.33648089103479173
270881.35259455,4823248.7961362,train,3.791462958099446E-4,56.77378578562068,0.5865282063857812
271381.35259455,4823248.7961362,train,1.6595206198008973E-4,24.07041374955476,0.3830572654560615
269881.35259455,4822748.7961362,train,1.8924920225091242E-4,27.518606894746906,0.414540581061952
270381.35259455,4822748.7961362,train,1.9203784837152802E-4,28.04827871914263,0.41809508032909043
270881.35259455,4822748.7961362,train,3.784860170368111E-4,56.468156413458914,0.5861054412767568
271381.35259455,4822748.7961362,train,1.6765031731448828E-4,24.45661562107866,0.38546622659591867
270381.35259455,4822248.7961362,train,1.7113251339784176E-4,25.007983097676142,0.3903473260692366
270881.35259455,4822248.7961362,train,1.2016357364023578E-4,16.640241518883204,0.3101460172888122
271381.35259455,4822248.7961362,train,3.812412608986694E-4,57.18861282471225,0.5878638775676737
271881.35259455,4822248.7961362,train,1.566027620194788E-4,22.666541852412962,0.3694497176303666
270381.35259455,4821748.7961362,train,1.744883738991382E-4,25.5457294180503,0.3949785242925564
