X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
272881.35259455,4818248.7961362,train,1.5252126893341183E-4,38.02788453160557,0.46422793845869836
273381.35259455,4818248.7961362,train,1.5734039843372935E-4,39.92524519422616,0.4719730126229102
273881.35259455,4818248.7961362,train,1.1474273767129984E-4,26.454556772623764,0.394617241577989
274381.35259455,4818248.7961362,train,3.3067146133967154E-4,76.35783743590639,0.6526001358960046
274381.35259455,4817748.7961362,train,1.3563938781934644E-4,32.346846582568205,0.4352070313581325
274881.35259455,4817748.7961362,train,3.1572099800009974E-4,74.33426484785484,0.6420382437640281
275381.35259455,4817248.7961362,train,3.3130306061600887E-4,76.50582991593893,0.6530326305090812
275381.35259455,4816748.7961362,train,2.494175981833934E-4,63.984245803505885,0.5862517005959852
275881.35259455,4816248.7961362,train,2.476829055972582E-4,63.61759743016488,0.5845577912520451
275881.35259455,4815748.7961362,train,4.85109945316804E-5,8.056468054092772,0.21604807852642335
276381.35259455,4815248.7961362,train,2.3409333840126125E-4,60.70698918736365,0.5707918796973881
276881.35259455,4814748.7961362,train,2.6894766927733425E-4,67.27429477574628,0.604411238455321
276881.35259455,4812748.7961362,train,2.8006189842840146E-4,69.45389474291467,0.6140511672192862
277381.35259455,4812748.7961362,train,2.854380041994672E-4,70.47633437921769,0.6185475036467789
276381.35259455,4812248.7961362,train,2.4966557326102365E-4,64.031347088966,0.5864927178975464
276381.35259455,4811748.7961362,train,2.5314026075683697E-4,64.88453619263124,0.5898406170359908
276381.35259455,4811248.7961362,train,1.415067477405349E-4,34.0012913440672,0.4456432260164548
276881.35259455,4811248.7961362,train,3.021076275503076E-4,72.8974244939378,0.6318464147707258
276881.35259455,4810748.7961362,train,3.32912499502178E-4,76.64207972726658,0.6541298587976319
276881.35259455,4810248.7961362,train,3.1957990469252083E-4,74.87826507223402,0.6448254146116937
276381.35259455,4809748.7961362,train,1.2448152497058574E-4,29.26875363335405,0.4142363010460765
276881.35259455,4809748.7961362,train,3.2931696462394384E-4,76.16661500957859,0.6516689839652691
276881.35259455,4809248.7961362,train,3.2538170141861977E-4,75.75252351623828,0.6489351376543132
276881.35259455,4808748.7961362,train,2.999614234313115E-4,72.63523068699007,0.630186431540799
277381.35259455,4808748.7961362,train,1.8470973003934963E-4,48.78414280165863,0.5120347694294853
276881.35259455,4808248.7961362,train,2.884046249035227E-4,70.94420978436544,0.6209840839740901
276881.35259455,4807748.7961362,train,2.8388672658897953E-4,70.25835957025248,0.6172608737226009
276881.35259455,4807248.7961362,train,2.972288252719849E-4,72.29475931100006,0.6280511129688328
276881.35259455,4806748.7961362,train,2.8927947350194526E-4,71.1366194617802,0.6216966929476105
276881.35259455,4806248.7961362,train,2.783860935479505E-4,69.02700821599444,0.6126278477820325
276881.35259455,4805748.7961362,train,2.817023571411831E-4,69.80708891798605,0.6154343714318165
276881.35259455,4805248.7961362,train,3.2010741190020554E-4,74.97281992780412,0.6452030485004526
276881.35259455,4804748.7961362,train,2.6443996359301066E-4,66.56250548422216,0.6003628125765281
277381.35259455,4804748.7961362,train,3.935318945659191E-4,81.8479730583521,0.6909415744071173
277881.35259455,4804748.7961362,train,1.2754115484240076E-4,30.22427542469752,0.42014014930600346
278381.35259455,4804748.7961362,train,1.5397493367178046E-4,38.797969110311506,0.46658802474541905
276381.35259455,4804248.7961362,train,1.9401498331393318E-4,51.114554109323365,0.5243053784527056
276881.35259455,4804248.7961362,train,1.985307915822446E-4,52.22728571643428,0.5300405305680719
277381.35259455,4804248.7961362,train,1.4334979633814048E-4,34.557536770680024,0.44884228932108755
277881.35259455,4804248.7961362,train,3.334199232951211E-4,76.6838899507483,0.6544743554335642
278381.35259455,4804248.7961362,train,1.4837036661776373E-4,36.45754516645194,0.4573723410788549
278881.35259455,4804248.7961362,train,3.3744476004530865E-4,77.07705648011239,0.657182750554122
